Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ,AIType
1,0.00,AgentPrefab,Agent,IdleState,Idling,Goal,20.00,0.00,20.00,0.00,0.00,0.00,DStar
1,0.00,AgentPrefab,Agent,SearchState,Searching Path,Goal,20.00,0.00,20.00,0.00,0.00,0.00,DStar
2,0.02,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.00,0.00,0.00,DStar
3,0.04,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.03,0.00,0.03,DStar
4,0.05,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.05,0.00,0.05,DStar
5,0.05,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.07,0.00,0.07,DStar
6,0.05,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.07,0.00,0.07,DStar
7,0.06,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.08,0.00,0.08,DStar
8,0.06,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.08,0.00,0.08,DStar
9,0.06,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.08,0.00,0.08,DStar
10,0.06,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.09,0.00,0.09,DStar
11,0.07,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.09,0.00,0.09,DStar
12,0.07,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.09,0.00,0.09,DStar
13,0.07,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.10,0.00,0.10,DStar
14,0.08,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.10,0.00,0.10,DStar
15,0.08,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.11,0.00,0.11,DStar
16,0.08,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.11,0.00,0.11,DStar
17,0.08,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.11,0.00,0.11,DStar
18,0.08,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.12,0.00,0.12,DStar
19,0.09,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.12,0.00,0.12,DStar
20,0.09,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.12,0.00,0.12,DStar
21,0.09,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.13,0.00,0.13,DStar
22,0.09,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.13,0.00,0.13,DStar
23,0.10,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.13,0.00,0.13,DStar
24,0.10,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.14,0.00,0.14,DStar
25,0.10,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.14,0.00,0.14,DStar
26,0.10,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.14,0.00,0.14,DStar
27,0.11,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.15,0.00,0.15,DStar
28,0.11,AgentPrefab,Agent,MoveState,Attacking,Goal,20.00,0.00,20.00,0.15,0.00,0.15,DStar
