Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType,CPU(ms)
114,0.51,AgentPrefab,Agent,IdleState,Idling,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
115,0.52,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
116,0.53,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
117,0.53,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
118,0.54,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
119,0.54,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
120,0.55,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
121,0.56,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
122,0.56,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
123,0.57,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
124,0.58,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
125,0.58,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
126,0.59,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
127,0.60,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
128,0.60,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
129,0.61,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
130,0.61,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
131,0.62,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
132,0.63,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
133,0.63,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
134,0.64,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
