Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType
1,0.00,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar
1,0.00,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar
2,0.02,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar
2,0.02,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.03,0.00,0.03,DStar
3,0.04,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.03,0.00,0.03,0.03,0.00,0.03,DStar
3,0.04,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.03,0.00,0.03,0.06,0.00,0.06,DStar
4,0.05,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.06,0.00,0.06,0.06,0.00,0.06,DStar
4,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.06,0.00,0.06,0.06,0.00,0.06,DStar
5,0.05,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.06,0.00,0.06,0.06,0.00,0.06,DStar
5,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.06,0.00,0.06,0.07,0.00,0.07,DStar
6,0.05,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.07,0.00,0.07,0.07,0.00,0.07,DStar
6,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.07,0.00,0.07,0.07,0.00,0.07,DStar
7,0.05,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.07,0.00,0.07,0.07,0.00,0.07,DStar
7,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.07,0.00,0.07,0.08,0.00,0.08,DStar
8,0.06,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.08,0.00,0.08,DStar
8,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.08,0.00,0.08,DStar
9,0.06,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.08,0.00,0.08,DStar
9,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.08,0.00,0.08,DStar
10,0.06,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.08,0.00,0.08,DStar
10,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.08,0.00,0.08,0.09,0.00,0.09,DStar
11,0.06,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.09,0.00,0.09,0.09,0.00,0.09,DStar
11,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.09,0.00,0.09,0.09,0.00,0.09,DStar
12,0.07,MoveState,AgentPrefab,Moving,DStar,Goal,20.00,0.00,20.00,0.09,0.00,0.09,0.09,0.00,0.09,DStar
12,0.07,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.09,0.00,0.09,0.10,0.00,0.10,DStar
