Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ,AIType
61,0.19,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.21,9.00,0.00,17.00,N/A
61,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.26,0.00,0.21,AStar
62,0.19,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.22,9.00,0.00,17.00,N/A
62,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.26,0.00,0.22,AStar
63,0.19,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.26,0.00,0.22,9.00,0.00,17.00,N/A
63,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.26,0.00,0.22,AStar
64,0.20,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.22,9.00,0.00,17.00,N/A
64,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.27,0.00,0.22,AStar
65,0.20,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.23,9.00,0.00,17.00,N/A
65,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.27,0.00,0.23,AStar
66,0.20,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.27,0.00,0.23,9.00,0.00,17.00,N/A
66,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.27,0.00,0.23,AStar
67,0.20,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.28,0.00,0.23,9.00,0.00,17.00,N/A
67,0.20,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.28,0.00,0.23,AStar
68,0.21,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.28,0.00,0.24,9.00,0.00,17.00,N/A
68,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.28,0.00,0.24,AStar
69,0.21,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.29,0.00,0.24,9.00,0.00,17.00,N/A
69,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.29,0.00,0.24,AStar
70,0.21,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.29,0.00,0.25,9.00,0.00,17.00,N/A
70,0.21,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.29,0.00,0.25,AStar
71,0.22,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.30,0.00,0.25,9.00,0.00,17.00,N/A
71,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.30,0.00,0.25,AStar
72,0.22,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.30,0.00,0.25,9.00,0.00,17.00,N/A
72,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.30,0.00,0.25,AStar
73,0.22,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.26,9.00,0.00,17.00,N/A
73,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.31,0.00,0.26,AStar
74,0.22,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.26,9.00,0.00,17.00,N/A
74,0.22,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.31,0.00,0.26,AStar
75,0.23,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.26,9.00,0.00,17.00,N/A
75,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.31,0.00,0.26,AStar
76,0.23,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.27,9.00,0.00,17.00,N/A
76,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.32,0.00,0.27,AStar
77,0.23,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.27,9.00,0.00,17.00,N/A
77,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.32,0.00,0.27,AStar
78,0.23,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.27,9.00,0.00,17.00,N/A
78,0.23,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.32,0.00,0.27,AStar
79,0.24,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.33,0.00,0.28,9.00,0.00,17.00,N/A
79,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.33,0.00,0.28,AStar
80,0.24,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.33,0.00,0.28,9.00,0.00,17.00,N/A
80,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.33,0.00,0.28,AStar
81,0.24,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.28,9.00,0.00,17.00,N/A
81,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.34,0.00,0.28,AStar
82,0.24,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.28,9.00,0.00,17.00,N/A
82,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.34,0.00,0.28,AStar
83,0.25,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.29,9.00,0.00,17.00,N/A
83,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.34,0.00,0.29,AStar
84,0.25,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.29,9.00,0.00,17.00,N/A
84,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.35,0.00,0.29,AStar
85,0.25,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.29,9.00,0.00,17.00,N/A
85,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.35,0.00,0.29,AStar
86,0.25,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.30,9.00,0.00,17.00,N/A
86,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.35,0.00,0.30,AStar
87,0.26,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.30,9.00,0.00,17.00,N/A
87,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.36,0.00,0.30,AStar
88,0.26,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.30,9.00,0.00,17.00,N/A
88,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.36,0.00,0.30,AStar
89,0.26,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.31,9.00,0.00,17.00,N/A
89,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.36,0.00,0.31,AStar
90,0.26,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.37,0.00,0.31,9.00,0.00,17.00,N/A
90,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.37,0.00,0.31,AStar
91,0.27,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.37,0.00,0.31,9.00,0.00,17.00,N/A
91,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.37,0.00,0.31,AStar
92,0.27,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.32,9.00,0.00,17.00,N/A
92,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.38,0.00,0.32,AStar
93,0.27,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.32,9.00,0.00,17.00,N/A
93,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.38,0.00,0.32,AStar
94,0.27,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.32,9.00,0.00,17.00,N/A
94,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.38,0.00,0.32,AStar
95,0.28,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.32,9.00,0.00,17.00,N/A
95,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.39,0.00,0.32,AStar
96,0.28,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.33,9.00,0.00,17.00,N/A
96,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.39,0.00,0.33,AStar
97,0.28,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.33,9.00,0.00,17.00,N/A
97,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.39,0.00,0.33,AStar
98,0.28,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.40,0.00,0.33,9.00,0.00,17.00,N/A
98,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.40,0.00,0.33,AStar
99,0.28,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.40,0.00,0.34,9.00,0.00,17.00,N/A
99,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.40,0.00,0.34,AStar
100,0.29,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.34,9.00,0.00,17.00,N/A
100,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.41,0.00,0.34,AStar
101,0.29,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.34,9.00,0.00,17.00,N/A
101,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.41,0.00,0.34,AStar
102,0.29,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.35,9.00,0.00,17.00,N/A
102,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.41,0.00,0.35,AStar
103,0.29,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.35,9.00,0.00,17.00,N/A
103,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.42,0.00,0.35,AStar
104,0.30,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.35,9.00,0.00,17.00,N/A
104,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.42,0.00,0.35,AStar
105,0.30,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.36,9.00,0.00,17.00,N/A
105,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.42,0.00,0.36,AStar
106,0.30,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.43,0.00,0.36,9.00,0.00,17.00,N/A
106,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.43,0.00,0.36,AStar
